pincode,latitude,longitude
126010,29.3833,75.9167
126011,29.3833,75.9167
126014,29.3833,75.9167
126015,29.3833,75.9167
126025,29.5667,75.8722
126027,29.5667,75.8722
126101,29.1333,76.4167
126102,29.1333,76.4167
126104,29.1333,76.4167
126105,29.1333,76.4167
126106,29.1333,76.4167
126108,29.1333,76.4167
126109,29.1333,76.4167
126110,29.6517,76.318
126111,29.8236,77.0886
126113,29.6517,76.318
126114,29.6517,76.318
126115,29.4667,76.1667
126116,29.6167,76.1167
126117,29.6517,76.318
126118,29.6517,76.318
126119,29.7,75.9
126120,29.3833,76.55
126121,29.3833,76.55
126122,29.3833,76.55
126123,29.3833,76.55
126124,29.3833,76.55
126126,29.3833,76.55
126127,29.3833,76.55
126128,29.3833,76.55
126129,29.3833,76.55
126130,29.5274,76.2272
126131,29.5274,76.2272
126132,29.5274,76.2272
126133,29.5274,76.2272
126135,29.5274,76.2272
126139,29.5274,76.2272
126140,29.7167,76.1333
126141,29.3333,76.6167
126143,29.5375,76.0083
126145,29.65,76.3667
126149,29.45,74.9167
126150,29.5274,76.2272
126151,29.5274,76.2272
126152,29.5274,76.2272
126153,29.5274,76.2272
126154,29.5274,76.2272
131001,29.2,76.8167
131021,29.2,76.8167
131023,29.6667,76.4333
131024,29.0667,76.9
131025,29.0333,76.85
131026,29.2,76.8167
131027,29.0333,77.0833
131029,29.2,76.8167
131030,29.2,76.8167
131031,29.2,76.8167
131032,29.2,76.8167
131034,29.2,76.8167
131035,29.2,76.8167
131036,29.2,76.8167
131038,29.2,76.8167
131101,29.1167,76.95
131102,29.1167,76.95
131103,29.1167,76.95
131104,29.1167,76.95
131105,29.1167,76.95
131107,29.1167,76.95
131108,29.1167,76.95
131109,29.1167,76.95
131110,28.9514,76.5278
131112,28.9514,76.5278
131113,28.9514,76.5278
131114,28.9514,76.5278
131115,28.9514,76.5278
132001,29.752,76.6199
132002,29.752,76.6199
132021,29.85,76.6667
132024,29.8,76.5333
132025,29.8,76.5333
132026,29.75,76.55
132027,29.8,76.3833
132034,30.0489,76.3444
132035,30.0386,76.3
132036,29.65,76.8667
132037,29.6056,76.9803
132038,29.9167,76.85
132039,29.8519,76.6683
132040,29.65,76.5667
132041,29.65,76.5667
132042,29.7833,76.55
132043,29.7167,76.5167
132044,29.5833,76.4833
132045,29.65,76.5667
132046,29.5167,76.7167
132047,29.65,76.5667
132048,29.65,76.5667
132049,29.65,76.5667
132050,29.5167,76.85
